Modelo,Fabricante,Quantidade,MarketShare
LR DEF110D350 X 7L,LAND ROVER,69,0
KIA STONIC MHEV SX HEV,KIA,68,0
DEF110D350 HSE XD,LAND ROVER,67,0
M.BENZ AMG GLB35 4M,M.BENZ,67,0
MINI ACEMAN SE,MINI,67,0
DEF110D S XD 7L,LAND ROVER,67,0
LR RR PHEV AB,LAND ROVER,66,0
MACAN E4,PORSCHE,66,0
LEXUS NX350H DYNAMIC,BMW,66,0
AUDI RS6 AV PERF HIB,AUDI,66,0
M.BENZ EQA 250,M.BENZ,65,0
AMGGLC43,M.BENZ,65,0
I4 M50,BMW,65,0
LR RRS D350 HSED,LAND ROVER,64,0
FPACE PHEV RDYN S,M.BENZ,63,0
VW ID.4 PRO PERF,CAOA CHERY,63,0
FOTON TUNLAND V7,FOTON,62,0
NX350H DYNAMIC,BMW,61,0
E TRON SPB,VW,61,0
CAMRY HV,TOYOTA,61,0
LEXUS RX450H PLUG-IN,LEXUS,61,0
VOLVO XC40 INSC EXPRES,VOLVO,61,0
DISC D300 SRD,LAND ROVER,59,0
500E ICON,FIAT,59,0
UX300H,BMW,59,0
E JS1 EXTREME,JAC,58,0
AMG GLC43 CO,M.BENZ,58,0
GAC GS4 PREMIUM,GAC,58,0
PORSCHE MACAN ETURBO,PORSCHE,57,0
GWM ORA 03 BEV58,GWM,56,0
RRS D350 SED,LAND ROVER,56,0
VOLVO XC90 T8 AWD ULTD,VOLVO,55,0
PORSCHE 911 CARRERAGTS,PORSCHE,55,0
VOLVO EC40 8 ULTRA,VOLVO,55,0
LR DEF110D HSE XD,LAND ROVER,54,0
CAYENNE TCPHEV,PORSCHE,54,0
AUDI RS E TRON GT,AUDI,54,0
KONA EV39,HYUNDAI,54,0
DISC SPT D200 SE D 7L,LAND ROVER,54,0
JAC E-J7,JAC,54,0
VOLVO XC90 T8 R-DESIGN,VOLVO,53,0
PORSCHE TAYCAN,PORSCHE,52,0
ARTURA,JAC,52,0
RENAULT KANGOO ETECHL2,RENAULT,51,0
FORD MUSTANG MACH-E GT,BYD,51,0
AMG GLA35 4M,AUDI,50,0
M.BENZ AMG GLE63S CO,M.BENZ,50,0
DEF110D X,LAND ROVER,49,0
PORSCHE PANAMERA 4EHST,PORSCHE,49,0
I7 XDRIVE60,BMW,49,0
RRS PHEV AB,LAND ROVER,49,0
GAC HYPTEC HT ELITE,GAC,49,0
TAYCAN 4GTS,PORSCHE,49,0
RR D350 LE,LAND ROVER,49,0
VOLVO XC40 T5H RDESIGN PHEV,VOLVO,48,0
LR VELAR PHEV HSED,LAND ROVER,48,0
EQUINOX EV,GM,47,0
PEUGEOT E2008 GT,PEUGEOT,47,0
M.BENZ 320 ESPRINTER F,LEXUS,46,0
VOLVO XC90 T8 AWD PLUS,VOLVO,46,0
HYUNDAI KONA LTD HEV,HYUNDAI,45,0
PORSCHE PANAMERA TSEHY,PORSCHE,45,0
LR DEF90D HSE,LAND ROVER,45,0
M.BENZ GLS 450 4M HEV,M.BENZ,45,0
PORSCHE CAYENNE S PHEV,PORSCHE,43,0
WORK,LAND ROVER,43,0
LR RRS D350 LE,LAND ROVER,43,0
NETA AYA COMFORT 4S,NETA,43,0
M.BENZ AMG CLA35 4M,AUDI,42,0
E300 EXCLUSIVE,LAND ROVER,42,0
M.BENZ SL63S EP,NETA,42,0
COOPER SE,M.BENZ,42,0
AMG GLB35 4M,M.BENZ,42,0
EQB 250,M.BENZ,41,0
PORSCHE CAYENNE TCPHEV,PORSCHE,41,0
M.BENZ AMGGLC43,M.BENZ,41,0
VOLVO EX30 E40 CORE,VOLVO,40,0
M.BENZ AMG GT63S EP 2P,M.BENZ,40,0
DEF90D S,LAND ROVER,40,0
RS E TRON GT,VOLVO,40,0
I5 M60,BMW,40,0
MINI COOPER E,MINI,40,0
DISC SPT D200 S PHEV,LAND ROVER,40,0
BYD ET3,BYD,39,0
GWM WEY 07,GWM,39,0
PANAMERA TSEHY,PORSCHE,39,0
GAC HYPTEC HT ULTRA,GAC,38,0
PORSCHE CAYENNE CP TSP,PORSCHE,38,0
VOLVO XC40 T5H INSCRIP PHEV,VOLVO,38,0
LR DEF110D X 7L,LAND ROVER,37,0
CHEV BLAZER EV RS,GM,37,0
BMW IX XDRIVE50,BMW,37,0
BMW X6 M COMPETITION,BMW,37,0
EQC400 4M,VOLVO,37,0
X FLAGSHIP,BMW,36,0
M.BENZ EQB350 4M,M.BENZ,36,0
AUDI E TRON SPB S,AUDI,36,0
JAG FPACE PHEV RDYN SE,JAGUAR,36,0
001 FLAGSHIP,M.BENZ,36,0
RR PHEV HSE,LAND ROVER,36,0
XC90 T8 ULTRA,VOLVO,35,0
M.BENZ GLS 450 4M,M.BENZ,35,0
Q8 SB HIBRIDO,AUDI,35,0
PEUGEOT 208 E-GT,PEUGEOT,34,0
PORSCHE CAYENNE TS PHE,PORSCHE,33,0
RENAULT MEGANE E-TECH,RENAULT,33,0
VOLVO XC60 T8 POLESTAR,VOLVO,32,0
LR DEF130D350 X 7L,LAND ROVER,32,0
BMW I4 40,BMW,32,0
HITECH ECOCARGO,VOLVO,31,0
ARRIZO6 PRHA,CAOA CHERY,31,0
IX M60,BMW,31,0
296 GTS,HITECH,31,0
M.BENZ AMG S63 EP,M.BENZ,31,0
M.BENZ AMG GLC63S EP,M.BENZ,30,0
BMW I5 M60,BMW,30,0
RRS D350 LE,LAND ROVER,30,0
TAYCAN TURBO S,PORSCHE,30,0
M.BENZ AMG C63S EP,M.BENZ,29,0
VOLVO EX40 PERF ULTRA,VOLVO,29,0
M.BENZ AMG GLA35 4M,AUDI,28,0
EQB350 4M,M.BENZ,28,0
NEXTEM ORCA FEVER FN1,VOLVO,28,0
CAYENNE T PHEV,PORSCHE,28,0
ONE WORK,M.BENZ,27,0
E TRON,FEVER,27,0
LEXUS NX300H LUXURY HEV,BMW,27,0
LR DEF110D HSE,LAND ROVER,27,0
NETA X 500 LUXURY,LEXUS,27,0
MINI ACEMAN E,MINI,27,0
RX450H PLUG-IN,LEXUS,26,0
EQE 300,M.BENZ,26,0
LR DEF110D350 X,LAND ROVER,26,0
RR D350 SV,LAND ROVER,26,0
DISC SPT D200 S 7L,LAND ROVER,26,0
CAYENNE TS PHE,PORSCHE,26,0
MINI COUNTRYMAN SE EXC,MINI,25,0
LR DEF130D350 X,LAND ROVER,25,0
VW ID.BUZZ PRO,CAOA CHERY,25,0
ZEEKR 001 PREMIUM,ZEEKR,25,0
208 E-GT,PEUGEOT,24,0
MACAN ETURBO,PORSCHE,24,0
DISC D300 HSED,LAND ROVER,23,0
PORSCHE TAYCAN TURBO S,PORSCHE,23,0
BMW I4 M50,BMW,23,0
VOLVO XC60 T8 R-DESIGN PHEV,VOLVO,23,0
IEV750 VIP ALPHA6,JAC,23,0
LEVANTE MHEV,BMW,22,0
HUMMER EV EDITION1,VOLVO,22,0
RRS PHEV HSED,LAND ROVER,22,0
M.BENZ AMG GLC43,M.BENZ,22,0
LR DEF110D X,LAND ROVER,22,0
DONGFENG SERES 3 ELEG2,LEXUS,22,0
DEF110D350 HSEXD 7L,LAND ROVER,21,0
IEV 330P,JAC,21,0
JAG IPACE E400 SE,JAGUAR,21,0
JAC IEV750V,JAC,21,0
AMG S63 EP,M.BENZ,21,0
PORSCHE TAYCAN 4GTS,PORSCHE,21,0
HONDA ACCORD HYB TRNG HEV,HONDA,21,0
HUMMER EV SUV EDIT,M.BENZ,21,0
E TRON GT,PORSCHE,21,0
TAYCAN TURBO,PORSCHE,20,0
TAYCAN,PORSCHE,20,0
AMG C63S EP F1,M.BENZ,20,0
AMG C63S EP,M.BENZ,20,0
EQE300 SUV,M.BENZ,20,0
TESLA MODEL S PLAID,LEXUS,20,0
BMW I7 XDRIVE60,BMW,20,0
M.BENZ AMG GT63S EP,M.BENZ,20,0
M.BENZ AMG C63S EP F1,M.BENZ,19,0
LEXUS RX450H L LUXURY HEV,LEXUS,19,0
X PREMIUM,BMW,19,0
COOPER E,M.BENZ,19,0
LR R.R SPT 3.0 TD HSED PHEV,LAND ROVER,19,0
VOLVO EC40 PERF ULTRA,VOLVO,19,0
LR RRS D350 SED,LAND ROVER,19,0
TOYOTA CAMRY HV,TOYOTA,19,0
COUNTRYMAN SE EXC,LAND ROVER,18,0
ZEEKR 7X FLAGSHIP AWD,ZEEKR,18,0
LR RR D350 LE,LAND ROVER,18,0
GAC AION ES PLUS,LEXUS,18,0
EQS450,M.BENZ,18,0
M.BENZ EQC400 4M,VOLVO,18,0
I3 BEV 120AH,BMW,18,0
TESLA MODEL Y LONG R,LEXUS,17,0
PORSCHE TAYCAN TURBO,PORSCHE,17,0
